rosalina_projetil: .word 17, 19
.byte 199,199,199,199,199,199,199,199,146,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,219,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,236,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,146,254,146,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,219,254,219,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,236,254,236,199,199,199,199,199,199,199,
199,199,199,199,199,199,146,236,254,236,146,199,199,199,199,199,199,
199,199,199,199,199,199,236,254,254,254,236,199,199,199,199,199,199,
199,199,199,146,219,236,254,254,254,254,254,236,219,146,199,199,199,
146,219,236,254,254,254,254,254,254,254,254,254,254,254,236,219,146,
199,199,199,146,219,236,254,254,254,254,254,236,219,146,199,199,199,
199,199,199,199,199,199,236,254,254,254,236,199,199,199,199,199,199,
199,199,199,199,199,199,146,236,254,236,146,199,199,199,199,199,199,
199,199,199,199,199,199,199,236,254,236,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,219,254,219,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,146,254,146,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,236,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,219,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,146,199,199,199,199,199,199,199,199,


