planta1: .word 24, 32
.byte 199,199,199,199,199,199,199,73,73,73,73,199,199,73,73,73,73,199,199,199,199,199,199,199,
199,199,199,199,199,199,73,183,183,183,73,73,73,73,183,183,183,73,199,199,199,199,199,199,
199,199,199,199,199,73,183,103,103,183,183,73,73,183,183,103,103,183,73,199,199,199,199,199,
199,199,199,199,199,73,103,103,103,103,183,73,73,183,103,103,103,103,73,199,199,199,199,199,
199,199,199,199,199,73,103,103,103,103,183,73,73,183,103,103,103,103,73,199,199,199,199,199,
199,199,199,73,73,6,73,95,103,103,183,73,73,183,103,103,95,73,6,73,73,199,199,199,
199,199,73,6,6,87,6,73,95,103,103,73,73,103,103,95,73,6,87,6,6,73,199,199,
199,199,73,6,87,87,6,73,95,103,103,73,73,103,103,95,73,6,87,87,6,73,199,199,
199,73,6,87,87,87,6,73,95,103,103,73,73,103,103,95,73,6,87,87,87,6,73,199,
199,73,6,255,255,87,6,73,95,103,103,73,73,103,103,95,73,6,87,255,255,6,73,199,
73,6,87,255,255,87,6,73,95,103,103,73,73,103,103,95,73,6,87,255,255,87,6,73,
73,6,87,87,167,87,6,6,73,95,103,73,73,103,95,73,6,6,87,167,87,87,6,73,
73,6,87,87,167,87,87,6,73,95,103,73,73,103,95,73,6,87,87,167,87,87,6,73,
73,6,87,87,167,87,87,6,73,95,103,73,73,103,95,73,6,87,87,167,87,87,6,73,
73,255,255,87,167,167,87,6,73,95,95,73,73,95,95,73,6,87,167,167,87,255,255,73,
73,255,255,87,167,167,255,255,87,73,95,73,73,95,73,6,255,255,167,167,87,255,255,73,
199,73,6,87,167,167,255,255,87,73,95,95,95,95,73,6,255,255,167,167,87,6,73,199,
199,73,6,6,87,167,167,87,87,73,95,95,95,95,73,6,87,167,167,87,6,6,73,199,
199,73,6,6,87,87,167,167,87,6,73,73,73,73,6,87,167,167,87,87,6,6,73,199,
199,199,73,6,6,255,255,87,87,255,255,6,6,255,255,167,87,255,255,6,6,73,199,199,
199,199,199,73,6,255,255,6,87,255,255,167,167,255,255,87,6,255,255,6,73,199,199,199,
199,199,199,199,73,73,6,6,6,6,87,87,87,87,6,6,6,6,73,73,199,199,199,199,
199,199,199,199,199,199,73,73,6,6,6,255,255,6,6,6,73,73,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,73,73,6,255,255,6,73,73,199,199,199,199,199,199,199,199,
199,199,199,73,73,73,199,199,199,199,73,73,73,73,199,199,199,199,73,73,73,199,199,199,
199,199,73,108,53,53,73,73,199,199,73,34,34,73,199,199,73,73,53,53,108,73,199,199,
199,199,73,108,34,108,53,53,73,73,73,34,108,73,73,73,53,53,108,34,108,73,199,199,
199,199,73,34,108,34,34,108,53,53,73,34,108,73,53,53,108,34,34,108,34,73,199,199,
199,199,199,73,34,108,108,34,34,108,73,34,108,73,108,34,34,108,108,34,73,199,199,199,
199,199,199,199,73,34,34,108,108,34,73,34,108,73,34,108,108,34,34,73,199,199,199,199,
199,199,199,199,199,73,73,34,34,34,34,34,108,108,108,34,34,73,73,199,199,199,199,199,
199,199,199,199,199,199,199,73,73,34,34,34,34,34,34,73,73,199,199,199,199,199,199,199,


