bowser_fogo2: .word 23, 19
.byte 199,199,199,199,199,199,199,199,199,199,4,4,5,5,5,4,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,4,5,22,30,30,30,30,22,5,4,199,199,199,199,199,
199,199,199,199,199,199,4,5,22,30,30,30,22,22,22,22,22,5,5,4,199,199,199,
199,199,199,199,199,4,22,30,47,47,30,22,5,5,5,5,4,199,199,199,4,199,199,
199,199,199,4,22,22,30,47,47,30,22,5,5,4,199,199,199,199,199,199,199,199,199,
199,199,4,22,22,30,47,47,30,30,22,5,4,199,4,4,5,5,4,199,199,199,199,
199,4,22,30,47,47,47,30,30,30,5,4,4,4,22,30,30,30,30,5,4,199,199,
4,5,30,47,127,127,47,30,30,22,4,5,5,22,30,47,30,22,22,30,22,5,4,
4,22,47,127,127,127,47,30,22,5,5,22,22,47,47,30,22,5,5,4,4,199,199,
4,30,127,127,127,47,47,30,22,5,22,30,47,47,47,22,5,4,199,199,199,199,199,
4,30,47,127,47,47,30,30,22,22,30,47,127,47,30,5,4,199,199,199,199,199,199,
4,22,47,127,47,30,30,22,30,30,47,127,47,30,22,5,199,199,199,199,4,4,4,
4,5,30,47,47,47,30,30,30,47,127,127,47,22,5,4,199,199,4,4,4,4,199,
199,4,5,30,47,47,47,127,127,127,127,47,30,5,4,4,199,4,22,5,4,199,199,
199,199,4,5,22,30,47,47,127,127,47,30,22,5,4,4,4,22,5,4,199,199,199,
199,199,199,199,4,5,22,30,30,30,22,22,5,4,4,4,22,5,4,199,199,199,199,
199,199,199,199,199,199,4,5,5,5,5,4,4,4,22,22,5,4,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,4,4,5,22,22,5,4,4,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,4,4,4,4,199,199,199,199,199,199,199,199,


