luma_verde: .word 18, 18
.byte 199,199,199,199,199,199,199,9,9,9,9,9,9,199,199,199,199,199,
199,199,199,199,199,9,9,113,113,113,113,113,96,9,199,199,199,199,
199,199,199,199,9,189,113,113,122,122,122,113,9,199,199,199,199,199,
199,199,199,9,189,122,122,122,122,122,122,122,113,9,199,199,199,199,
199,199,9,96,122,122,122,122,122,122,122,122,122,9,199,199,199,199,
199,9,189,122,122,122,122,122,122,122,122,122,122,96,9,199,199,199,
199,9,122,189,0,122,122,122,189,0,122,122,122,122,122,9,9,9,
9,113,122,0,0,122,122,122,0,0,122,122,122,122,122,122,113,9,
9,113,122,0,0,122,122,122,0,0,122,122,122,122,122,113,96,9,
9,113,122,0,105,122,122,122,0,105,122,122,122,113,113,96,9,199,
9,113,122,122,122,122,122,122,122,122,122,122,113,113,9,9,199,199,
9,113,122,122,122,122,122,122,122,122,122,122,122,122,9,199,199,199,
9,113,122,122,122,122,122,122,122,122,122,122,122,122,9,199,199,199,
9,113,122,122,122,122,122,122,122,122,122,122,122,9,199,199,199,199,
199,9,113,122,113,96,96,96,96,96,122,122,96,9,199,199,199,199,
199,9,113,113,96,9,9,9,0,96,113,122,96,9,199,199,199,199,
199,199,9,96,9,199,199,199,199,0,0,96,9,199,199,199,199,199,
199,199,199,0,9,199,199,199,199,199,199,0,9,199,199,199,199,199,


